,University,Staff_number,Address,latitude,longitude
0,Wageningen University,3247,"Droevendaalsesteeg 4, 6708PB, WAGENINGEN, Nederland",51.9863887,5.6680085
1,Radboud University,3903,"Houtlaan 4, 6525XZ, NIJMEGEN, Nederland",51.8168933,5.8654912
2,University of Groningen,5146,"Broerstraat 5, 9712CP, GRONINGEN, Nederland",53.219246,6.5631006
3,Maastricht University,4565,"Minderbroedersberg 4, 6211LK, MAASTRICHT, Nederland",50.8471289,5.6864176
4,Open University,668,"Valkenburgerweg 177, 6419AT, HEERLEN, Nederland",50.8787016,5.9576505
5,TU Eindhoven,3606,"Den Dolech 2, 5612AZ, EINDHOVEN, Nederland",51.4478875,5.4859493
6,Tilburg University,2144,"Warandelaan 2, 5037AB, TILBURG, Nederland",51.5632488,5.0422382
7,University van Amsterdam,5697,"Spui 21, 1012WX, AMSTERDAM, Nederland",52.3685848,4.8902006
8,VU Amsterdam,4354,"De Boelelaan 1105, 1081HV, AMSTERDAM, Nederland",52.33396225,4.865196500737312
9,University Twente,3251,"Drienerlolaan 5, 7522NB, ENSCHEDE, Nederland",52.239179750000005,6.8562745757352985
10,University Utrecht,6792,"Heidelberglaan 8, 3584CS, UTRECHT, Nederland",52.0852978,5.1756637
11,Erasmus University Rotterdam,2938,"Burgemeester Oudlaan 50, 3062PA, ROTTERDAM, Nederland",51.9176312,4.525962326490774
12,TU Delft,6253,"Prometheusplein 1, 2628ZC, DELFT, Nederland",52.002677,4.3752397
13,Leiden University,5160,"Rapenburg 70, 2311EZ, LEIDEN, Nederland",52.1566349,4.4867397
